,filename,label,features
11,ID_a15bf70b6,[0.00145736 0.00987058 0.01153587 0.02097473 0.00646492 0.03243476],"[2.2402653e-04 3.3122259e-03 2.2979663e-03 ... 2.4977033e+00 8.9468652e-01
 3.9374584e-01]"
12,ID_0ffa92d16,[0.00059607 0.01162779 0.00594944 0.00429686 0.0036391  0.00982449],"[2.7855427e-04 3.3198139e-03 2.2634822e-03 ... 2.0682254e+00 8.3370256e-01
 8.4666741e-01]"
13,ID_6535fe15f,[0.00244822 0.0258941  0.0190303  0.0177097  0.01401572 0.05642922],"[3.1357678e-04 5.0472715e-03 2.8199877e-03 ... 1.3198886e+00 5.5460614e-01
 1.0082200e+00]"
14,ID_d035a06b9,[0.00067099 0.01319283 0.00877761 0.00788285 0.00505598 0.02140107],"[2.8473246e-04 4.5302878e-03 2.7526231e-03 ... 1.4178250e+00 9.5346749e-01
 3.1446955e-01]"
15,ID_eb0f86d12,[0.00042138 0.00690187 0.00556851 0.00615226 0.0023452  0.00728248],"[2.5977759e-04 2.1656633e-03 2.2801298e-03 ... 2.1617799e+00 1.3683531e+00
 3.1482583e-01]"
16,ID_ed8fa57d5,[0.00801055 0.07584083 0.04075858 0.04626485 0.04401595 0.12643531],"[3.0591240e-04 2.5477160e-03 2.3740488e-03 ... 1.6177276e+00 1.5745175e-01
 6.4725637e-01]"
17,ID_0a2883ad9,[0.00398457 0.0591213  0.024412   0.03266009 0.0258409  0.12267743],"[3.5330578e-04 2.2650757e-03 2.4358174e-03 ... 1.9803559e+00 4.1062021e-01
 6.2486076e-01]"
18,ID_dcecd9c59,[0.0035679  0.04647608 0.02442453 0.03671673 0.02627855 0.10736111],"[3.3669843e-04 2.6024112e-03 2.2997442e-03 ... 1.5435252e+00 3.8575935e-01
 1.1903658e+00]"
19,ID_c8649e688,[0.01077933 0.07240041 0.04692332 0.07944603 0.04911011 0.21041334],"[3.3941181e-04 2.7824207e-03 2.1625629e-03 ... 1.4415700e+00 1.9536847e-01
 2.4770896e-01]"
20,ID_daea726d9,[0.00112223 0.01745227 0.01079237 0.01698021 0.01025138 0.05549238],"[3.4522681e-04 3.4012152e-03 2.2699684e-03 ... 2.6373932e+00 1.4198853e-01
 1.5192866e+00]"
21,ID_776342896,[0.0009289  0.01277972 0.00775723 0.01049926 0.0085782  0.02203058],"[3.5124109e-04 4.7097867e-03 2.5105064e-03 ... 2.0110569e+00 4.6927965e-01
 7.4457991e-01]"
22,ID_e80c3497c,[0.00421499 0.02641532 0.02759032 0.04088623 0.03166833 0.10734539],"[3.2667216e-04 4.2311284e-03 2.7082316e-03 ... 1.6927693e+00 5.5655956e-01
 6.6220272e-01]"
23,ID_955ae5f0a,[0.00165239 0.01697974 0.00734966 0.0118031  0.0072264  0.02094031],"[3.4236422e-04 3.8796961e-03 3.0679051e-03 ... 2.3306119e+00 9.9860042e-01
 7.0943338e-01]"
24,ID_2d2d3303c,[0.00256118 0.02169069 0.01558749 0.02025821 0.01329268 0.03299907],"[4.2416266e-04 3.4019835e-03 3.0421778e-03 ... 1.0679686e+00 1.2342343e+00
 5.4973626e-01]"
25,ID_68c635f4d,[0.00597279 0.08717272 0.03398544 0.0777427  0.05917311 0.20921801],"[3.4531439e-04 2.1909857e-03 3.8094302e-03 ... 4.6196669e-01 9.0101457e-01
 1.1550040e+00]"
26,ID_223950193,[0.00187644 0.01920114 0.00515787 0.02153651 0.0090853  0.02981369],"[3.7525233e-04 2.5734426e-03 3.4983819e-03 ... 1.0393850e+00 1.0356877e+00
 2.7370448e+00]"
27,ID_cd81cc5e1,[0.00215682 0.0126855  0.00514557 0.02451119 0.01131056 0.03367752],"[3.6069384e-04 2.8270914e-03 3.2686635e-03 ... 2.5388811e+00 8.4845328e-01
 1.1211905e+00]"
28,ID_b10624df7,[0.0030136  0.01447755 0.00815919 0.02417107 0.01360578 0.03513018],"[3.1250456e-04 5.5922884e-03 3.1711173e-03 ... 3.1693699e+00 1.4752233e+00
 1.5776063e+00]"
29,ID_075e9d504,[0.00174943 0.01300457 0.00471718 0.01540219 0.01054131 0.01570503],"[3.2639666e-04 5.4987250e-03 3.4896792e-03 ... 2.9225054e+00 1.9077399e+00
 1.1854779e+00]"
30,ID_3e3cb283e,[0.00921482 0.06607658 0.02434232 0.05482744 0.06403859 0.11909541],"[2.9288576e-04 4.6561388e-03 3.5344583e-03 ... 2.4567659e+00 1.0146744e+00
 7.9764259e-01]"
31,ID_fd707676d,[0.0016181  0.01432254 0.00600267 0.01345732 0.01234127 0.01600588],"[3.1740122e-04 5.8058780e-03 4.1256812e-03 ... 3.2193003e+00 8.9886427e-01
 1.2758014e+00]"
32,ID_ecc4e1f79,[0.00092671 0.00725088 0.00465627 0.00667961 0.00744851 0.00817877],"[3.3375225e-04 5.5051269e-03 4.0898034e-03 ... 3.6080594e+00 1.7288268e+00
 1.6644015e+00]"
33,ID_e3e0c3a83,[0.00054123 0.004412   0.0024597  0.00355703 0.00492001 0.00396859],"[4.0736439e-04 5.0470899e-03 4.1160667e-03 ... 2.6278524e+00 9.0018672e-01
 1.4045452e+00]"
34,ID_f304adf54,[0.0007279  0.00653632 0.00604669 0.00519275 0.01003435 0.00789388],"[4.2755977e-04 4.9080942e-03 4.2563397e-03 ... 3.0271575e+00 6.1008453e-01
 1.1348150e+00]"
35,ID_120b3d3d2,[0.00147321 0.01696447 0.00970053 0.01552194 0.02328504 0.02358851],"[4.2347357e-04 5.1302272e-03 4.7091083e-03 ... 1.2858441e+00 6.7445493e-01
 1.2405689e+00]"
36,ID_938efbccc,[0.00327565 0.02157547 0.01737828 0.02726641 0.03560677 0.07136166],"[3.9080763e-04 3.1742449e-03 3.2158839e-03 ... 1.2292161e+00 1.9254985e-01
 8.1474984e-01]"
37,ID_b10e83436,[0.00168178 0.01434868 0.01284336 0.01569971 0.01676582 0.04461039],"[3.5755715e-04 3.6439039e-03 2.5130243e-03 ... 1.7188721e+00 1.7181677e-01
 1.5930972e+00]"
38,ID_2f8f9297d,[0.00228456 0.01835184 0.01376227 0.02957522 0.02134687 0.03798449],"[2.5913783e-04 4.8546786e-03 2.4685445e-03 ... 2.0024500e+00 2.2677191e-01
 2.1275342e+00]"
39,ID_9710911d4,[0.00173962 0.03271799 0.0162552  0.02941286 0.02189206 0.05631854],"[2.7828838e-04 4.0467158e-03 2.1527167e-03 ... 1.0875310e+00 7.2286880e-01
 1.4424845e+00]"
40,ID_c5b4412ab,[0.00267261 0.01987005 0.01019247 0.02725443 0.02437157 0.04201998],"[2.5422010e-04 4.1908799e-03 2.3539395e-03 ... 4.7073868e-01 4.0858173e-01
 2.3515654e+00]"
41,ID_782362a4e,[0.00279933 0.01313871 0.00667306 0.01490561 0.01082132 0.02830513],"[2.3175775e-04 5.3430889e-03 2.1000430e-03 ... 5.0298148e-01 5.0653189e-01
 2.6559176e+00]"
42,ID_282cb238d,[0.0011067  0.0087435  0.0035603  0.00674894 0.00560965 0.01736936],"[2.4741207e-04 4.1526090e-03 2.4419506e-03 ... 6.8678319e-01 8.6697543e-01
 8.0946010e-01]"
43,ID_29d6afbf1,[0.00112062 0.01215143 0.00762998 0.01585991 0.0112058  0.02748054],"[2.4678188e-04 3.7934964e-03 3.2616304e-03 ... 4.8920804e-01 1.0192231e+00
 2.2214253e+00]"
44,ID_70927ab00,[0.00071569 0.00563627 0.00332772 0.00942511 0.00733158 0.01103361],"[2.5488652e-04 3.7138162e-03 2.9371616e-03 ... 1.0601887e-01 1.9292700e+00
 3.3623707e+00]"
45,ID_ef96b6a2e,[0.00179549 0.01515407 0.00866477 0.01794757 0.01413779 0.03222629],"[2.3667078e-04 3.5754372e-03 2.3260769e-03 ... 2.7379394e-01 1.7801385e+00
 3.0932908e+00]"
46,ID_f8032cf48,[0.00144899 0.01225446 0.00878191 0.01570362 0.01379029 0.02226744],"[1.9840676e-04 3.4547434e-03 2.0335231e-03 ... 3.3817840e-01 1.9926901e+00
 1.6096539e+00]"
47,ID_182f84b88,[0.00349892 0.02224063 0.01662006 0.02649581 0.02373669 0.06440924],"[1.9926167e-04 3.2488792e-03 1.8551722e-03 ... 2.9047179e-01 9.3048364e-01
 1.4270498e+00]"
48,ID_61c99ad46,[0.00400525 0.04320832 0.02623825 0.03645614 0.03833205 0.11103468],"[2.2000082e-04 4.1094245e-03 1.6580871e-03 ... 5.9611320e-01 7.1826029e-01
 2.0292349e+00]"
49,ID_12fb979b2,[0.00331147 0.04860561 0.02689611 0.04336567 0.05328881 0.11703088],"[2.1939390e-04 4.8833657e-03 1.5469498e-03 ... 1.0745656e+00 1.2025580e+00
 2.1373558e+00]"
50,ID_9c5953424,[0.00701127 0.07189332 0.03466899 0.06786158 0.09971623 0.19635247],"[2.4705316e-04 3.9583780e-03 1.5658208e-03 ... 5.7505667e-01 9.6702349e-01
 2.9673560e+00]"
51,ID_b3e8a2151,[0.00377623 0.03767465 0.02506178 0.04964565 0.04540893 0.12106948],"[2.8352736e-04 3.9222697e-03 1.9141493e-03 ... 2.7207160e-01 1.1717439e+00
 1.5159783e+00]"
52,ID_52ade0aa8,[0.00960948 0.0604216  0.03732904 0.09378226 0.09362081 0.22799343],"[2.5657396e-04 4.1523040e-03 1.6812414e-03 ... 2.6771376e-01 1.4012349e+00
 1.4963984e+00]"
53,ID_c7ea36996,[0.00652667 0.04215661 0.02963542 0.06204528 0.05034545 0.15220326],"[2.5530451e-04 5.1749535e-03 1.9659766e-03 ... 5.3979599e-01 1.1926838e+00
 2.7292914e+00]"
54,ID_195032b27,[0.00738504 0.04280828 0.03034812 0.05938577 0.06073739 0.15035932],"[2.3502141e-04 4.1852300e-03 1.8584320e-03 ... 4.8950291e-01 1.4725549e+00
 2.0597553e+00]"
55,ID_ee450543b,[0.00523365 0.03833556 0.02440728 0.04580969 0.03158598 0.13543832],"[2.8952604e-04 5.2762767e-03 1.7048826e-03 ... 7.3726326e-01 1.0152133e+00
 2.6197424e+00]"
56,ID_9ab18f9bd,[0.00631506 0.04051012 0.02634121 0.05314951 0.04437965 0.14330678],"[3.1446779e-04 5.2622324e-03 1.8225093e-03 ... 5.2003592e-01 1.4019042e+00
 2.0552969e+00]"
57,ID_2f3a269fe,[0.00921739 0.06271203 0.03598925 0.07018915 0.06501991 0.18457866],"[3.0448433e-04 4.6192817e-03 1.9105400e-03 ... 3.4284058e-01 1.1779687e+00
 1.4640063e+00]"
58,ID_fa3af270d,[0.00289505 0.02208818 0.01109697 0.03039584 0.02500103 0.06494483],"[3.1403397e-04 5.1533757e-03 1.8197077e-03 ... 5.6181753e-01 1.8411461e+00
 1.8536035e+00]"
59,ID_11ea90152,[0.00229796 0.02382941 0.01004395 0.02990567 0.025976   0.07483592],"[3.2955964e-04 4.1742362e-03 2.5055343e-03 ... 1.0370847e+00 1.5662925e+00
 1.6758473e+00]"
60,ID_2760f6ecf,[0.00618899 0.03963832 0.01765299 0.05177033 0.04065951 0.11328285],"[3.2905454e-04 3.9996915e-03 2.5378680e-03 ... 5.1023734e-01 1.3851664e+00
 1.4576714e+00]"
61,ID_ea9ef3ef1,[0.0017411  0.01671177 0.00553769 0.02594524 0.01476765 0.05604597],"[3.4183578e-04 4.4381064e-03 2.5552805e-03 ... 1.0138488e+00 1.4549676e+00
 1.4149334e+00]"
62,ID_d43808de2,[0.00328809 0.02340205 0.01074449 0.0360116  0.02204596 0.07837254],"[3.9567976e-04 4.7282754e-03 2.9932016e-03 ... 1.2686920e+00 1.0460229e+00
 2.0244453e+00]"
63,ID_1dbef65ff,[0.00170241 0.01360765 0.00468181 0.02921348 0.01286544 0.03862139],"[4.1049786e-04 4.6478882e-03 3.4116642e-03 ... 1.2392617e+00 1.3692774e+00
 2.3448880e+00]"
64,ID_4ab969f31,[0.00305276 0.01661161 0.00748562 0.04176075 0.02392659 0.06107891],"[4.1525316e-04 4.9231993e-03 3.9971443e-03 ... 9.4524312e-01 1.5857949e+00
 2.1721027e+00]"
65,ID_bb8c69817,[0.0034126  0.01780085 0.00782128 0.03340151 0.02518627 0.05133451],"[4.5384764e-04 4.9093971e-03 4.2854841e-03 ... 9.7817755e-01 1.7584507e+00
 2.2536397e+00]"
66,ID_4dc62cc4e,[0.00114416 0.00590218 0.00271251 0.01166121 0.01211773 0.01634992],"[4.4434896e-04 4.7202827e-03 4.2780763e-03 ... 1.2053609e+00 1.8160827e+00
 3.1095757e+00]"
67,ID_d47795eb1,[0.00149347 0.01011254 0.00424382 0.01770508 0.01527654 0.02725971],"[4.9635430e-04 5.0966474e-03 5.2710492e-03 ... 1.0918490e+00 1.1855278e+00
 1.3622117e+00]"
68,ID_2a532f7db,[0.0010622  0.01070527 0.00365849 0.01498328 0.01223616 0.01928435],"[5.8004615e-04 6.0343929e-03 5.7919486e-03 ... 2.1752858e+00 5.0609350e-01
 1.3629544e+00]"
69,ID_501c46dac,[0.0009983  0.01080353 0.00456576 0.01887469 0.02131228 0.02557234],"[7.0554449e-04 6.7487531e-03 6.3111223e-03 ... 3.3036857e+00 1.0230098e+00
 9.1906750e-01]"
70,ID_2100b850d,[0.0001433  0.00394293 0.00086018 0.00487227 0.00259972 0.00824973],"[8.3849177e-04 7.4353362e-03 7.0622405e-03 ... 2.8430686e+00 2.5106125e+00
 8.4480757e-01]"
71,ID_db1db6b74,[0.00102572 0.01732991 0.00355024 0.02401329 0.01214699 0.02545855],"[1.0039713e-03 6.7769922e-03 6.9824243e-03 ... 1.8995249e+00 1.3370382e+00
 6.4484054e-01]"
72,ID_8ea90efca,[0.00244794 0.01940735 0.01478711 0.02160134 0.01781221 0.05272283],"[3.8747053e-04 2.9929776e-03 3.5814815e-03 ... 1.3243386e+00 6.2216389e-01
 1.3427327e+00]"
73,ID_e133c476a,[0.00694194 0.05138005 0.04082105 0.06315137 0.05503488 0.13885212],"[3.2400401e-04 5.2343924e-03 2.9177065e-03 ... 1.6512569e+00 7.2689378e-01
 9.9744731e-01]"
74,ID_c597e1e84,[0.00138995 0.01285035 0.00725852 0.02139389 0.0115876  0.02550017],"[3.1045752e-04 4.1928147e-03 3.1370702e-03 ... 9.9504793e-01 9.7108322e-01
 1.5131969e+00]"
75,ID_792cc15d1,[0.00050678 0.00701086 0.00321551 0.0103308  0.00458369 0.01106796],"[3.0020863e-04 4.4234102e-03 3.4638147e-03 ... 2.1946490e+00 8.7747443e-01
 1.9187603e+00]"
76,ID_a01f1a799,[0.00067519 0.00930414 0.00247997 0.01252817 0.00499501 0.01017075],"[3.1794555e-04 5.5025471e-03 3.5032465e-03 ... 2.0396638e+00 1.2282275e+00
 1.3981606e+00]"
77,ID_8b2eae304,[0.00098986 0.01260624 0.0030344  0.01645058 0.00519469 0.01973476],"[3.0728534e-04 5.0968798e-03 2.9521438e-03 ... 2.7574875e+00 9.8661923e-01
 2.5445523e+00]"
78,ID_315c88d59,[0.00146374 0.01201119 0.00689193 0.01801656 0.01106463 0.02346855],"[3.1763804e-04 3.8264664e-03 3.0668303e-03 ... 2.2182798e+00 6.1065912e-01
 9.1607618e-01]"
79,ID_e6a201216,[0.00272498 0.02134461 0.01155426 0.02715035 0.01312467 0.04001339],"[3.1809747e-04 3.4044129e-03 3.1879558e-03 ... 2.6753936e+00 6.6326678e-01
 5.3430438e-01]"
80,ID_d543cf7fa,[0.00203571 0.02169361 0.00902647 0.02071251 0.0141904  0.02574656],"[2.5615544e-04 3.4128050e-03 3.2285391e-03 ... 2.4897375e+00 2.3379567e-01
 6.7014039e-01]"
81,ID_f89e4d79f,[0.00131081 0.01233131 0.0065801  0.01736066 0.01385476 0.01923221],"[2.2364242e-04 4.8930799e-03 3.0642571e-03 ... 2.3051019e+00 4.0166789e-01
 8.7757146e-01]"
82,ID_46c5c9c65,[0.00186904 0.016343   0.00989429 0.02016048 0.01671766 0.02879938],"[2.0187216e-04 5.0505893e-03 2.6483354e-03 ... 1.7742574e+00 3.8138396e-01
 4.1977546e-01]"
83,ID_171b09b27,[0.00170772 0.01595069 0.01182667 0.02035627 0.01184036 0.02938838],"[1.6893019e-04 4.2495290e-03 2.9164113e-03 ... 1.6084433e+00 9.4118553e-01
 5.3988433e-01]"
84,ID_abfe763e0,[0.00052448 0.00911293 0.0053888  0.01258929 0.00634071 0.01710893],"[1.9263716e-04 5.3995624e-03 2.9018857e-03 ... 1.0257413e+00 7.6820648e-01
 7.0408463e-01]"
85,ID_a560a4744,[0.00256362 0.03713366 0.01863059 0.03835024 0.02903709 0.08158149],"[2.0382172e-04 5.5728224e-03 2.8578420e-03 ... 1.4154632e+00 1.1249443e+00
 4.5656502e-01]"
86,ID_c180fc003,[0.0015746  0.0189345  0.01311526 0.02886381 0.01335802 0.05997011],"[2.3804497e-04 5.8984528e-03 2.4146084e-03 ... 2.2380309e+00 1.0055084e+00
 9.1093642e-01]"
87,ID_a5aa60864,[0.00195522 0.01862482 0.01719962 0.02909424 0.01224216 0.06824188],"[2.5296491e-04 6.9179749e-03 2.3037819e-03 ... 1.6675723e+00 3.7399691e-01
 7.8252143e-01]"
88,ID_bf2b637f7,[0.00860711 0.05487605 0.05248305 0.09334613 0.07278889 0.28083405],"[2.2555454e-04 4.1336482e-03 2.3459815e-03 ... 9.2250824e-01 2.6546553e-01
 8.9429790e-01]"
89,ID_6501e448e,[0.00365381 0.04345384 0.0320445  0.05306599 0.02814703 0.1258729 ],"[2.5186123e-04 3.7676077e-03 1.9936666e-03 ... 1.8136983e+00 2.4336657e-01
 6.2186110e-01]"
90,ID_b8ebc3cd3,[0.00645182 0.07905908 0.05543579 0.08854102 0.04894421 0.25502005],"[2.3970053e-04 5.0622639e-03 1.8763009e-03 ... 1.6002861e+00 2.1932167e-01
 9.7361863e-01]"
91,ID_7c93feb70,[0.00348053 0.02831426 0.02816327 0.03394666 0.01895034 0.09051924],"[2.2370450e-04 5.1347944e-03 1.9282596e-03 ... 1.7608700e+00 3.7869459e-01
 2.0279033e+00]"
92,ID_165ea679b,[0.00780282 0.06463329 0.05078267 0.08451835 0.04575942 0.20522383],"[2.2958493e-04 4.8188963e-03 2.0639258e-03 ... 1.8969288e+00 6.2449586e-01
 1.1003392e+00]"
93,ID_d4713e1d3,[0.00884093 0.0804681  0.05161141 0.06445698 0.0542198  0.20117076],"[2.7885207e-04 5.7078348e-03 2.1182997e-03 ... 1.4691777e+00 4.1458875e-01
 8.0088115e-01]"
94,ID_5cde28c95,[0.01244045 0.09299444 0.06910679 0.07636977 0.06889776 0.22279936],"[3.0426233e-04 4.3720128e-03 2.1863631e-03 ... 7.9594994e-01 6.8372935e-01
 1.1016657e+00]"
95,ID_88202364a,[0.00433528 0.05541554 0.03706073 0.03764388 0.02965412 0.09477574],"[3.2834220e-04 4.7980677e-03 2.3234016e-03 ... 1.0710124e+00 4.8835462e-01
 6.3561606e-01]"
96,ID_bbfb97b49,[0.00892864 0.10857833 0.05188638 0.06137317 0.05218386 0.12722911],"[3.1909707e-04 3.9162976e-03 2.5185857e-03 ... 1.4230363e+00 3.1003118e-01
 4.6997669e-01]"
97,ID_83fa31461,[0.00336274 0.0499834  0.02110038 0.03646666 0.02651326 0.06497204],"[3.3218937e-04 4.5464938e-03 2.5900370e-03 ... 1.0965831e+00 1.0484369e+00
 6.0995388e-01]"
98,ID_c5317224b,[0.0041319  0.05414113 0.01311652 0.03998146 0.03062329 0.06919673],"[3.7373678e-04 4.2126374e-03 2.7461401e-03 ... 1.3794054e+00 1.3858840e+00
 1.3394085e+00]"
99,ID_25b52b501,[0.00407235 0.03452293 0.01159463 0.03240108 0.03990927 0.06483828],"[4.0354725e-04 4.1713351e-03 3.0167694e-03 ... 1.2891296e+00 1.6870235e+00
 6.8119156e-01]"
100,ID_79fbaa7c2,[0.00247739 0.02322269 0.00732615 0.03308336 0.02401424 0.04631021],"[4.2662970e-04 4.1898531e-03 3.3669190e-03 ... 1.5230252e+00 2.4822338e+00
 8.5233867e-01]"
101,ID_4d4fd56d8,[0.00310544 0.02636576 0.00789757 0.04181977 0.03854977 0.08525183],"[4.1317302e-04 3.7062159e-03 3.4182437e-03 ... 1.5725268e+00 2.8336339e+00
 9.2068940e-01]"
102,ID_7b5df32bd,[0.01169367 0.08410922 0.02582734 0.1151311  0.09597062 0.22317822],"[4.2987720e-04 4.0780669e-03 3.6479211e-03 ... 1.5028901e+00 1.9203204e+00
 5.9665847e-01]"
103,ID_0bbc658aa,[0.01330615 0.10782704 0.03961542 0.1550368  0.11938436 0.30405843],"[4.0851944e-04 4.3024570e-03 4.2590168e-03 ... 8.1542265e-01 9.3016744e-01
 6.5682280e-01]"
104,ID_af167a968,[0.00596322 0.04294465 0.01904495 0.08520688 0.06870242 0.16676252],"[3.4214975e-04 4.5073978e-03 4.6177381e-03 ... 9.6024263e-01 2.0370452e+00
 8.5044611e-01]"
105,ID_d240e4416,[0.00216387 0.01917726 0.00676783 0.03443475 0.01865649 0.0442884 ],"[3.4857070e-04 3.9581093e-03 4.1412911e-03 ... 1.0890707e+00 2.6823201e+00
 1.4750037e+00]"
106,ID_6a758e938,[0.00061751 0.00708395 0.0022528  0.00790627 0.00600057 0.00775685],"[3.5668359e-04 3.9958726e-03 4.4891569e-03 ... 1.5429010e+00 9.7334921e-01
 1.7031138e+00]"
107,ID_dda38e90b,[0.00092168 0.00976409 0.00422822 0.007246   0.00900756 0.00878904],"[3.7010142e-04 3.9704088e-03 3.8131021e-03 ... 1.0361897e+00 9.6903753e-01
 1.4066494e+00]"
108,ID_fecbfcaae,[0.00275364 0.02093388 0.00831723 0.0235978  0.02430132 0.03422001],"[3.6921035e-04 6.2999246e-03 4.0879096e-03 ... 1.2394810e+00 9.2285705e-01
 2.3744869e-01]"
109,ID_c952429d9,[0.00204558 0.02212784 0.01071104 0.02742166 0.02964531 0.04340828],"[3.9548959e-04 6.4506447e-03 4.3388666e-03 ... 1.5177095e+00 8.5928166e-01
 4.0111324e-01]"
110,ID_555b63369,[0.00224757 0.02362271 0.00872819 0.02043884 0.02064284 0.02849891],"[4.4763871e-04 4.7430703e-03 4.9829213e-03 ... 1.6692483e+00 8.8948548e-01
 4.8141593e-01]"
111,ID_de60c54b0,[0.00202637 0.02131815 0.00802001 0.01791884 0.01978321 0.02500044],"[4.6257765e-04 4.3893829e-03 4.9613905e-03 ... 2.0865824e+00 9.5800924e-01
 3.1573349e-01]"
112,ID_53c3eff6d,[0.01720558 0.09829842 0.05857301 0.14436683 0.1212145  0.3263866 ],[0.00042664 0.0028674  0.00378399 ... 0.07906841 0.29675865 0.3072016 ]
113,ID_67fee1d5d,[0.0198298  0.10394656 0.06649058 0.185768   0.1549662  0.40541837],"[3.8549010e-04 3.0965507e-03 3.9856462e-03 ... 2.0268409e-01 3.4433386e-01
 9.0602708e-01]"
114,ID_466e1791d,[0.01994192 0.09418641 0.07324285 0.15847707 0.1206532  0.38429776],"[4.0116708e-04 3.4331046e-03 4.0819459e-03 ... 2.9066306e-01 3.5134819e-01
 1.0379602e+00]"
115,ID_bf0c67657,[0.0009547  0.00456581 0.00297456 0.00764174 0.00685725 0.01020372],"[2.9000395e-04 4.7633792e-03 3.9328467e-03 ... 1.2187045e+00 7.7435166e-01
 2.7769575e+00]"
116,ID_d45e55779,[0.00111563 0.00646234 0.00454276 0.01017706 0.00622208 0.00818427],"[2.8497016e-04 3.6446757e-03 3.2744748e-03 ... 7.5785846e-01 5.4558784e-01
 1.8262191e+00]"
117,ID_7fa096247,[0.00102087 0.00726278 0.00370701 0.00608447 0.00422788 0.00774476],"[2.6755690e-04 2.3094597e-03 3.1627391e-03 ... 2.7780786e-01 4.4975567e-01
 2.2714067e+00]"
118,ID_9a30bfeb4,[0.00081626 0.00575858 0.00351084 0.00560819 0.00341465 0.0044377 ],"[2.9569221e-04 3.3446075e-03 3.4186787e-03 ... 2.2736910e-01 1.0764484e+00
 2.8792276e+00]"
119,ID_d62e1b895,[0.00763028 0.04260043 0.02582936 0.04236386 0.0421863  0.09840781],"[2.7392013e-04 3.5657694e-03 3.4164086e-03 ... 3.5887673e-01 5.3239751e-01
 1.3222470e+00]"
120,ID_7eb634861,[0.02432441 0.12647872 0.08478914 0.13383418 0.12407453 0.36245868],"[2.8360530e-04 2.9245445e-03 3.0734958e-03 ... 3.4166574e-01 5.6081086e-02
 1.0551028e+00]"
121,ID_df385ae6a,[0.00497588 0.0482232  0.02811709 0.04605252 0.04373032 0.10578705],"[3.2132241e-04 3.7678860e-03 2.7720076e-03 ... 1.8001330e-01 4.1657355e-01
 1.3214061e+00]"
122,ID_a1ab3cc59,[0.00144793 0.0120019  0.00816311 0.01227876 0.01256135 0.01573115],"[3.7032753e-04 4.6121133e-03 2.7451068e-03 ... 3.0323979e-01 9.8706043e-01
 1.7838501e+00]"
123,ID_8844a96ae,[0.00068513 0.00505407 0.00388007 0.00525447 0.00612235 0.00551005],"[3.2807406e-04 4.0622959e-03 2.7136263e-03 ... 7.4796110e-01 1.0929749e+00
 1.5792037e+00]"
124,ID_12d4b9b38,[0.00060708 0.00422523 0.00457016 0.0055174  0.00377125 0.0058885 ],"[3.3418147e-04 4.4541946e-03 2.8317927e-03 ... 9.7361308e-01 1.1809077e+00
 1.6438733e+00]"
125,ID_f101dd3b4,[0.00079791 0.00580621 0.00730149 0.00621693 0.00664793 0.00870936],"[2.9610470e-04 3.8376539e-03 2.9101917e-03 ... 2.7060986e-01 1.4092562e+00
 1.6757462e+00]"
